"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"MD","popvote","republican",813797,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MD","popvote","democrat",1145782,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MD","popvote","others",65901,NA,NA,NA,NA,NA,NA,NA
2000,"MD","evote","diff",10,NA,NA,NA,NA,NA,NA,NA
2000,"MD","popvote","diff",331985,NA,NA,NA,NA,NA,NA,NA
2000,"MD","popvoteperc","democrat",0.565684183502182,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MD","popvoteperc","republican",0.401779825029129,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MD","popvoteperc","diff",0.163904358473053,NA,NA,NA,NA,NA,NA,NA
2000,"MA","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MA","evote","democrat",12,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MA","popvote","republican",878502,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MA","popvote","democrat",1616487,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MA","popvote","others",207995,NA,NA,NA,NA,NA,NA,NA
2000,"MA","evote","diff",12,NA,NA,NA,NA,NA,NA,NA
2000,"MA","popvote","diff",737985,NA,NA,NA,NA,NA,NA,NA
2000,"MA","popvoteperc","democrat",0.598037946210558,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MA","popvoteperc","republican",0.32501191276012,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MA","popvoteperc","diff",0.273026033450438,NA,NA,NA,NA,NA,NA,NA
2000,"MI","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MI","evote","democrat",18,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MI","popvote","republican",1953139,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MI","popvote","democrat",2170418,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MI","popvote","others",108944,NA,NA,NA,NA,NA,NA,NA
2000,"MI","evote","diff",18,NA,NA,NA,NA,NA,NA,NA
2000,"MI","popvote","diff",217279,NA,NA,NA,NA,NA,NA,NA
2000,"MI","popvoteperc","democrat",0.512797988706914,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MI","popvoteperc","republican",0.461462147321406,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MI","popvoteperc","diff",0.0513358413855071,NA,NA,NA,NA,NA,NA,NA
2000,"MN","evote","republican",0,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MN","evote","democrat",10,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MN","popvote","republican",1109659,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MN","popvote","democrat",1168266,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MN","popvote","others",160760,NA,NA,NA,NA,NA,NA,NA
2000,"MN","evote","diff",10,NA,NA,NA,NA,NA,NA,NA
2000,"MN","popvote","diff",58607,NA,NA,NA,NA,NA,NA,NA
2000,"MN","popvoteperc","democrat",0.479055720603522,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MN","popvoteperc","republican",0.455023506520932,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MN","popvoteperc","diff",0.0240322140825896,NA,NA,NA,NA,NA,NA,NA
2000,"MS","evote","republican",7,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MS","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MS","popvote","republican",572844,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MS","popvote","democrat",404614,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MS","popvote","others",16726,NA,NA,NA,NA,NA,NA,NA
2000,"MS","evote","diff",-7,NA,NA,NA,NA,NA,NA,NA
